measurements_id; time; flux; error; source_id
12718; 7870.48502; 10.6321; 0.026; 106
12719; 7920.1323; 10.6012; 0.023; 106
12720; 7920.2212; 10.5844; 0.026; 106
12721; 7920.23556; 10.6298; 0.026; 106
12722; 7971.76803; 10.6434; 0.028; 106
12723; 7971.84259; 10.6548; 0.043; 106
12724; 7971.85691; 10.6507; 0.031; 106
12725; 7971.93149; 10.5963; 0.036; 106
12726; 7971.94581; 10.5936; 0.023; 106
12727; 8004.98374; 10.5952; 0.025; 106
12728; 8004.99805; 10.5892; 0.027; 106
12729; 8005.0726; 10.6254; 0.027; 106
12730; 8005.08694; 10.6249; 0.026; 106
12731; 8029.06686; 10.6163; 0.031; 106
12732; 8029.08117; 10.5612; 0.032; 106
12733; 8029.15576; 10.6098; 0.027; 106
12734; 8029.17006; 10.6711; 0.028; 106
12735; 8029.24462; 10.6383; 0.027; 106
12736; 8068.69677; 10.6424; 0.03; 106
12737; 8068.71112; 10.6448; 0.026; 106
12738; 8068.87457; 10.6604; 0.044; 106
12739; 8068.8889; 10.5444; 0.036; 106
12740; 8068.96346; 10.5819; 0.035; 106
12741; 8068.97778; 10.6401; 0.04; 106
12742; 8094.91811; 10.5841; 0.026; 106
12743; 8095.08155; 10.5749; 0.026; 106
12744; 8095.09589; 10.601; 0.027; 106
12745; 8095.17047; 10.6731; 0.048; 106
12746; 8095.18478; 10.687; 0.029; 106
12747; 8125.73838; 10.6278; 0.018; 106
12748; 8125.75271; 10.5874; 0.028; 106
12749; 8125.82728; 10.5842; 0.026; 106
12750; 8125.84161; 10.6015; 0.026; 106
12751; 8158.1679; 10.6507; 0.024; 106
12752; 8158.18224; 10.709; 0.042; 106
12753; 8158.2568; 10.5496; 0.044; 106
12754; 8158.27115; 10.5987; 0.036; 106
12755; 8178.2661; 10.5436; 0.03; 106
12756; 8178.34067; 10.6545; 0.032; 106
12757; 8178.35499; 10.5436; 0.024; 106
12758; 8214.95298; 10.6404; 0.029; 106
12759; 8229.24708; 10.5425; 0.024; 106
12760; 8229.26143; 10.5191; 0.027; 106
12761; 8265.57655; 10.6609; 0.035; 106
12762; 8265.59088; 10.6256; 0.031; 106
12763; 8284.14848; 10.6583; 0.026; 106
12764; 8284.16282; 10.6633; 0.027; 106
12765; 8284.23739; 10.5793; 0.025; 106
12766; 8284.25171; 10.5701; 0.025; 106
12767; 8315.87742; 10.6198; 0.026; 106
12768; 8315.95198; 10.6844; 0.047; 106
12769; 8315.96629; 10.6896; 0.026; 106
12770; 8344.29502; 10.5118; 0.032; 106
12771; 8344.30934; 10.5532; 0.024; 106
12772; 8409.33796; 10.6249; 0.024; 106
12773; 8409.35228; 10.5923; 0.025; 106
12774; 8409.42682; 10.5421; 0.031; 106
12775; 8409.44114; 10.5753; 0.025; 106
12776; 8409.51574; 10.617; 0.026; 106
12777; 8409.53003; 10.6128; 0.025; 106
12778; 8433.42247; 10.6004; 0.032; 106
12779; 8433.43679; 10.6342; 0.028; 106
12780; 8433.52566; 10.5902; 0.027; 106
12781; 8468.78762; 10.5782; 0.027; 106
12782; 8468.80191; 10.5937; 0.032; 106
12783; 8468.87648; 10.5733; 0.027; 106
12784; 8468.96539; 10.6683; 0.026; 106
